n_sq_ar,c_ar,l_ar,l_aroff,surface,objectid,sanisettes,WC au Km2,Party
"750000002","2",2ème Ardt,Bourse,"0.9900000000","2","11","11.111","3"
"750000004","4",4ème Ardt,Hôtel-de-Ville,"1.6000000000","4","21","13.125","2"
"750000017","17",17ème Ardt,Batignolles-Monceau,"5.6700000000","17","24","4.233","1"
"750000018","18",18ème Ardt,Buttes-Montmartre,"6.0100000000","18","67","11.148","2"
"750000005","5",5ème Ardt,Panthéon,"2.5400000000","5","17","6.693","1"
"750000007","7",7ème Ardt,Palais-Bourbon,"4.0900000000","7","11","2.689","1"
"750000020","20",20ème Ardt,Ménilmontant,"5.9800000000","20","50","8.361","2"
"750000006","6",6ème Ardt,Luxembourg,"2.1500000000","6","8","3.721","1"
"750000008","8",8ème Ardt,Élysée,"3.8800000000","8","14","3.608","1"
"750000009","9",9ème Ardt,Opéra,"2.1800000000","9","15","6.881","1"
"750000013","13",13ème Ardt,Gobelins,"7.1500000000","13","53","7.413","2"
"750000019","19",19ème Ardt,Buttes-Chaumont,"6.7900000000","19","43","6.333","2"
"750000014","14",14ème Ardt,Observatoire,"5.6400000000","14","46","8.156","2"
"750000010","10",10ème Ardt,Entrepôt,"2.8900000000","10","34","11.765","2"
"750000011","11",11ème Ardt,Popincourt,"3.6700000000","11","40","10.899","2"
"750000003","3",3ème Ardt,Temple,"1.1700000000","3","12","10.256","2"
"750000016","16",16ème Ardt,Passy,"7.8500000000","16","33","4.204","1"
"750000012","12",12ème Ardt,Reuilly,"6.3800000000","12","40","6.270","2"
"750000001","1",1er Ardt,Louvre,"1.8300000000","1","13","7.104","1"
"750000015","15",15ème Ardt,Vaugirard,"8.4800000000","15","46","5.425","1"
